season,team,stadium,wins
2020,Mumbai Indians,Buffalo Park,0
2020,Mumbai Indians,New Wanderers Stadium,0
2020,Mumbai Indians,De Beers Diamond Oval,0
2020,Mumbai Indians,OUTsurance Oval,0
2020,Mumbai Indians,Brabourne Stadium,0
2020,Mumbai Indians,"Sardar Patel Stadium, Motera",0
2020,Mumbai Indians,Barabati Stadium,0
2020,Mumbai Indians,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,0
2020,Mumbai Indians,Nehru Stadium,0
2020,Mumbai Indians,Holkar Cricket Stadium,0
2020,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Mumbai Indians,Subrata Roy Sahara Stadium,0
2020,Mumbai Indians,Shaheed Veer Narayan Singh International Stadium,0
2020,Mumbai Indians,JSCA International Stadium Complex,0
2020,Mumbai Indians,Sheikh Zayed Stadium,6
2020,Mumbai Indians,Sharjah Cricket Stadium,2
2020,Mumbai Indians,Dubai International Cricket Stadium,3
2020,Mumbai Indians,Maharashtra Cricket Association Stadium,0
2020,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Mumbai Indians,Saurashtra Cricket Association Stadium,0
2020,Mumbai Indians,Green Park,0
2020,Mumbai Indians,M.Chinnaswamy Stadium,0
2020,Kolkata Knight Riders,M Chinnaswamy Stadium,0
2020,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",0
2020,Kolkata Knight Riders,Feroz Shah Kotla,0
2020,Kolkata Knight Riders,Wankhede Stadium,0
2020,Kolkata Knight Riders,Eden Gardens,0
2020,Kolkata Knight Riders,Sawai Mansingh Stadium,0
2020,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",0
2020,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",0
2020,Kolkata Knight Riders,Dr DY Patil Sports Academy,0
2020,Kolkata Knight Riders,Newlands,0
2020,Kolkata Knight Riders,St George's Park,0
2020,Kolkata Knight Riders,Kingsmead,0
2020,Kolkata Knight Riders,SuperSport Park,0
2020,Kolkata Knight Riders,Buffalo Park,0
2020,Kolkata Knight Riders,New Wanderers Stadium,0
2020,Kolkata Knight Riders,De Beers Diamond Oval,0
2020,Kolkata Knight Riders,OUTsurance Oval,0
2020,Kolkata Knight Riders,Brabourne Stadium,0
2020,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",0
2020,Kolkata Knight Riders,Barabati Stadium,0
2020,Kolkata Knight Riders,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Kolkata Knight Riders,Himachal Pradesh Cricket Association Stadium,0
2020,Kolkata Knight Riders,Nehru Stadium,0
2020,Kolkata Knight Riders,Holkar Cricket Stadium,0
2020,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Kolkata Knight Riders,Subrata Roy Sahara Stadium,0
2020,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,0
2020,Kolkata Knight Riders,JSCA International Stadium Complex,0
2020,Kolkata Knight Riders,Sheikh Zayed Stadium,5
2020,Kolkata Knight Riders,Sharjah Cricket Stadium,0
2020,Kolkata Knight Riders,Dubai International Cricket Stadium,2
2020,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,0
2020,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,0
2020,Kolkata Knight Riders,Green Park,0
2020,Kolkata Knight Riders,M.Chinnaswamy Stadium,0
2020,Rajasthan Royals,M Chinnaswamy Stadium,0
2020,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",0
2020,Rajasthan Royals,Feroz Shah Kotla,0
2020,Rajasthan Royals,Wankhede Stadium,0
2020,Rajasthan Royals,Eden Gardens,0
2020,Rajasthan Royals,Sawai Mansingh Stadium,0
2020,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",0
2020,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",0
2020,Rajasthan Royals,Dr DY Patil Sports Academy,0
2020,Rajasthan Royals,Newlands,0
2020,Rajasthan Royals,St George's Park,0
2020,Rajasthan Royals,Kingsmead,0
2020,Rajasthan Royals,SuperSport Park,0
2020,Rajasthan Royals,Buffalo Park,0
2020,Rajasthan Royals,New Wanderers Stadium,0
2020,Rajasthan Royals,De Beers Diamond Oval,0
2020,Rajasthan Royals,OUTsurance Oval,0
2020,Rajasthan Royals,Brabourne Stadium,0
2020,Rajasthan Royals,"Sardar Patel Stadium, Motera",0
2020,Rajasthan Royals,Barabati Stadium,0
2020,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Rajasthan Royals,Himachal Pradesh Cricket Association Stadium,0
2020,Rajasthan Royals,Nehru Stadium,0
2020,Rajasthan Royals,Holkar Cricket Stadium,0
2020,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Rajasthan Royals,Subrata Roy Sahara Stadium,0
2020,Rajasthan Royals,Shaheed Veer Narayan Singh International Stadium,0
2020,Rajasthan Royals,JSCA International Stadium Complex,0
2020,Rajasthan Royals,Sheikh Zayed Stadium,3
2020,Rajasthan Royals,Sharjah Cricket Stadium,2
2020,Rajasthan Royals,Dubai International Cricket Stadium,1
2020,Rajasthan Royals,Maharashtra Cricket Association Stadium,0
2020,Rajasthan Royals,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Rajasthan Royals,Saurashtra Cricket Association Stadium,0
2020,Rajasthan Royals,Green Park,0
2020,Rajasthan Royals,M.Chinnaswamy Stadium,0
2020,Deccan Chargers,M Chinnaswamy Stadium,0
2020,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",0
2020,Deccan Chargers,Feroz Shah Kotla,0
2020,Deccan Chargers,Wankhede Stadium,0
2020,Deccan Chargers,Eden Gardens,0
2020,Deccan Chargers,Sawai Mansingh Stadium,0
2020,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0
2020,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",0
2020,Deccan Chargers,Dr DY Patil Sports Academy,0
2020,Deccan Chargers,Newlands,0
2020,Deccan Chargers,St George's Park,0
2020,Deccan Chargers,Kingsmead,0
2020,Deccan Chargers,SuperSport Park,0
2020,Deccan Chargers,Buffalo Park,0
2020,Deccan Chargers,New Wanderers Stadium,0
2020,Deccan Chargers,De Beers Diamond Oval,0
2020,Deccan Chargers,OUTsurance Oval,0
2020,Deccan Chargers,Brabourne Stadium,0
2020,Deccan Chargers,"Sardar Patel Stadium, Motera",0
2020,Deccan Chargers,Barabati Stadium,0
2020,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,0
2020,Deccan Chargers,Nehru Stadium,0
2020,Deccan Chargers,Holkar Cricket Stadium,0
2020,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Deccan Chargers,Subrata Roy Sahara Stadium,0
2020,Deccan Chargers,Shaheed Veer Narayan Singh International Stadium,0
2020,Deccan Chargers,JSCA International Stadium Complex,0
2020,Deccan Chargers,Sheikh Zayed Stadium,0
2020,Deccan Chargers,Sharjah Cricket Stadium,0
2020,Deccan Chargers,Dubai International Cricket Stadium,0
2020,Deccan Chargers,Maharashtra Cricket Association Stadium,0
2020,Deccan Chargers,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Deccan Chargers,Saurashtra Cricket Association Stadium,0
2020,Deccan Chargers,Green Park,0
2020,Deccan Chargers,M.Chinnaswamy Stadium,0
2020,Chennai Super Kings,M Chinnaswamy Stadium,0
2020,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0
2020,Chennai Super Kings,Feroz Shah Kotla,0
2020,Chennai Super Kings,Wankhede Stadium,0
2020,Chennai Super Kings,Eden Gardens,0
2020,Chennai Super Kings,Sawai Mansingh Stadium,0
2020,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",0
2020,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0
2020,Chennai Super Kings,Dr DY Patil Sports Academy,0
2020,Chennai Super Kings,Newlands,0
2020,Chennai Super Kings,St George's Park,0
2020,Chennai Super Kings,Kingsmead,0
2020,Chennai Super Kings,SuperSport Park,0
2020,Chennai Super Kings,Buffalo Park,0
2020,Chennai Super Kings,New Wanderers Stadium,0
2020,Chennai Super Kings,De Beers Diamond Oval,0
2020,Chennai Super Kings,OUTsurance Oval,0
2020,Chennai Super Kings,Brabourne Stadium,0
2020,Chennai Super Kings,"Sardar Patel Stadium, Motera",0
2020,Chennai Super Kings,Barabati Stadium,0
2020,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,0
2020,Chennai Super Kings,Nehru Stadium,0
2020,Chennai Super Kings,Holkar Cricket Stadium,0
2020,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Chennai Super Kings,Subrata Roy Sahara Stadium,0
2020,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,0
2020,Chennai Super Kings,JSCA International Stadium Complex,0
2020,Chennai Super Kings,Sheikh Zayed Stadium,2
2020,Chennai Super Kings,Sharjah Cricket Stadium,0
2020,Chennai Super Kings,Dubai International Cricket Stadium,4
2020,Chennai Super Kings,Maharashtra Cricket Association Stadium,0
2020,Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Chennai Super Kings,Saurashtra Cricket Association Stadium,0
2020,Chennai Super Kings,Green Park,0
2020,Chennai Super Kings,M.Chinnaswamy Stadium,0
2020,Kochi Tuskers Kerala,M Chinnaswamy Stadium,0
2020,Kochi Tuskers Kerala,"Punjab Cricket Association Stadium, Mohali",0
2020,Kochi Tuskers Kerala,Feroz Shah Kotla,0
2020,Kochi Tuskers Kerala,Wankhede Stadium,0
2020,Kochi Tuskers Kerala,Eden Gardens,0
2020,Kochi Tuskers Kerala,Sawai Mansingh Stadium,0
2020,Kochi Tuskers Kerala,"Rajiv Gandhi International Stadium, Uppal",0
2020,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",0
2020,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,0
2020,Kochi Tuskers Kerala,Newlands,0
2020,Kochi Tuskers Kerala,St George's Park,0
2020,Kochi Tuskers Kerala,Kingsmead,0
2020,Kochi Tuskers Kerala,SuperSport Park,0
2020,Kochi Tuskers Kerala,Buffalo Park,0
2020,Kochi Tuskers Kerala,New Wanderers Stadium,0
2020,Kochi Tuskers Kerala,De Beers Diamond Oval,0
2020,Kochi Tuskers Kerala,OUTsurance Oval,0
2020,Kochi Tuskers Kerala,Brabourne Stadium,0
2020,Kochi Tuskers Kerala,"Sardar Patel Stadium, Motera",0
2020,Kochi Tuskers Kerala,Barabati Stadium,0
2020,Kochi Tuskers Kerala,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Kochi Tuskers Kerala,Himachal Pradesh Cricket Association Stadium,0
2020,Kochi Tuskers Kerala,Nehru Stadium,0
2020,Kochi Tuskers Kerala,Holkar Cricket Stadium,0
2020,Kochi Tuskers Kerala,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Kochi Tuskers Kerala,Subrata Roy Sahara Stadium,0
2020,Kochi Tuskers Kerala,Shaheed Veer Narayan Singh International Stadium,0
2020,Kochi Tuskers Kerala,JSCA International Stadium Complex,0
2020,Kochi Tuskers Kerala,Sheikh Zayed Stadium,0
2020,Kochi Tuskers Kerala,Sharjah Cricket Stadium,0
2020,Kochi Tuskers Kerala,Dubai International Cricket Stadium,0
2020,Kochi Tuskers Kerala,Maharashtra Cricket Association Stadium,0
2020,Kochi Tuskers Kerala,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Kochi Tuskers Kerala,Saurashtra Cricket Association Stadium,0
2020,Kochi Tuskers Kerala,Green Park,0
2020,Kochi Tuskers Kerala,M.Chinnaswamy Stadium,0
2020,Pune Warriors,M Chinnaswamy Stadium,0
2020,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",0
2020,Pune Warriors,Feroz Shah Kotla,0
2020,Pune Warriors,Wankhede Stadium,0
2020,Pune Warriors,Eden Gardens,0
2020,Pune Warriors,Sawai Mansingh Stadium,0
2020,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",0
2020,Pune Warriors,"MA Chidambaram Stadium, Chepauk",0
2020,Pune Warriors,Dr DY Patil Sports Academy,0
2020,Pune Warriors,Newlands,0
2020,Pune Warriors,St George's Park,0
2020,Pune Warriors,Kingsmead,0
2020,Pune Warriors,SuperSport Park,0
2020,Pune Warriors,Buffalo Park,0
2020,Pune Warriors,New Wanderers Stadium,0
2020,Pune Warriors,De Beers Diamond Oval,0
2020,Pune Warriors,OUTsurance Oval,0
2020,Pune Warriors,Brabourne Stadium,0
2020,Pune Warriors,"Sardar Patel Stadium, Motera",0
2020,Pune Warriors,Barabati Stadium,0
2020,Pune Warriors,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Pune Warriors,Himachal Pradesh Cricket Association Stadium,0
2020,Pune Warriors,Nehru Stadium,0
2020,Pune Warriors,Holkar Cricket Stadium,0
2020,Pune Warriors,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Pune Warriors,Subrata Roy Sahara Stadium,0
2020,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,0
2020,Pune Warriors,JSCA International Stadium Complex,0
2020,Pune Warriors,Sheikh Zayed Stadium,0
2020,Pune Warriors,Sharjah Cricket Stadium,0
2020,Pune Warriors,Dubai International Cricket Stadium,0
2020,Pune Warriors,Maharashtra Cricket Association Stadium,0
2020,Pune Warriors,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Pune Warriors,Saurashtra Cricket Association Stadium,0
2020,Pune Warriors,Green Park,0
2020,Pune Warriors,M.Chinnaswamy Stadium,0
2020,Sunrisers Hyderabad,M Chinnaswamy Stadium,0
2020,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",0
2020,Sunrisers Hyderabad,Feroz Shah Kotla,0
2020,Sunrisers Hyderabad,Wankhede Stadium,0
2020,Sunrisers Hyderabad,Eden Gardens,0
2020,Sunrisers Hyderabad,Sawai Mansingh Stadium,0
2020,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0
2020,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",0
2020,Sunrisers Hyderabad,Dr DY Patil Sports Academy,0
2020,Sunrisers Hyderabad,Newlands,0
2020,Sunrisers Hyderabad,St George's Park,0
2020,Sunrisers Hyderabad,Kingsmead,0
2020,Sunrisers Hyderabad,SuperSport Park,0
2020,Sunrisers Hyderabad,Buffalo Park,0
2020,Sunrisers Hyderabad,New Wanderers Stadium,0
2020,Sunrisers Hyderabad,De Beers Diamond Oval,0
2020,Sunrisers Hyderabad,OUTsurance Oval,0
2020,Sunrisers Hyderabad,Brabourne Stadium,0
2020,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",0
2020,Sunrisers Hyderabad,Barabati Stadium,0
2020,Sunrisers Hyderabad,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,0
2020,Sunrisers Hyderabad,Nehru Stadium,0
2020,Sunrisers Hyderabad,Holkar Cricket Stadium,0
2020,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,0
2020,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,0
2020,Sunrisers Hyderabad,JSCA International Stadium Complex,0
2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,2
2020,Sunrisers Hyderabad,Sharjah Cricket Stadium,2
2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,4
2020,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,0
2020,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0
2020,Sunrisers Hyderabad,Green Park,0
2020,Sunrisers Hyderabad,M.Chinnaswamy Stadium,0
2020,Gujarat Lions,M Chinnaswamy Stadium,0
2020,Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",0
2020,Gujarat Lions,Feroz Shah Kotla,0
2020,Gujarat Lions,Wankhede Stadium,0
2020,Gujarat Lions,Eden Gardens,0
2020,Gujarat Lions,Sawai Mansingh Stadium,0
2020,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",0
2020,Gujarat Lions,"MA Chidambaram Stadium, Chepauk",0
2020,Gujarat Lions,Dr DY Patil Sports Academy,0
2020,Gujarat Lions,Newlands,0
2020,Gujarat Lions,St George's Park,0
2020,Gujarat Lions,Kingsmead,0
2020,Gujarat Lions,SuperSport Park,0
2020,Gujarat Lions,Buffalo Park,0
2020,Gujarat Lions,New Wanderers Stadium,0
2020,Gujarat Lions,De Beers Diamond Oval,0
2020,Gujarat Lions,OUTsurance Oval,0
2020,Gujarat Lions,Brabourne Stadium,0
2020,Gujarat Lions,"Sardar Patel Stadium, Motera",0
2020,Gujarat Lions,Barabati Stadium,0
2020,Gujarat Lions,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Gujarat Lions,Himachal Pradesh Cricket Association Stadium,0
2020,Gujarat Lions,Nehru Stadium,0
2020,Gujarat Lions,Holkar Cricket Stadium,0
2020,Gujarat Lions,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Gujarat Lions,Subrata Roy Sahara Stadium,0
2020,Gujarat Lions,Shaheed Veer Narayan Singh International Stadium,0
2020,Gujarat Lions,JSCA International Stadium Complex,0
2020,Gujarat Lions,Sheikh Zayed Stadium,0
2020,Gujarat Lions,Sharjah Cricket Stadium,0
2020,Gujarat Lions,Dubai International Cricket Stadium,0
2020,Gujarat Lions,Maharashtra Cricket Association Stadium,0
2020,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Gujarat Lions,Saurashtra Cricket Association Stadium,0
2020,Gujarat Lions,Green Park,0
2020,Gujarat Lions,M.Chinnaswamy Stadium,0
2020,Rising Pune Supergiants,M Chinnaswamy Stadium,0
2020,Rising Pune Supergiants,"Punjab Cricket Association Stadium, Mohali",0
2020,Rising Pune Supergiants,Feroz Shah Kotla,0
2020,Rising Pune Supergiants,Wankhede Stadium,0
2020,Rising Pune Supergiants,Eden Gardens,0
2020,Rising Pune Supergiants,Sawai Mansingh Stadium,0
2020,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",0
2020,Rising Pune Supergiants,"MA Chidambaram Stadium, Chepauk",0
2020,Rising Pune Supergiants,Dr DY Patil Sports Academy,0
2020,Rising Pune Supergiants,Newlands,0
2020,Rising Pune Supergiants,St George's Park,0
2020,Rising Pune Supergiants,Kingsmead,0
2020,Rising Pune Supergiants,SuperSport Park,0
2020,Rising Pune Supergiants,Buffalo Park,0
2020,Rising Pune Supergiants,New Wanderers Stadium,0
2020,Rising Pune Supergiants,De Beers Diamond Oval,0
2020,Rising Pune Supergiants,OUTsurance Oval,0
2020,Rising Pune Supergiants,Brabourne Stadium,0
2020,Rising Pune Supergiants,"Sardar Patel Stadium, Motera",0
2020,Rising Pune Supergiants,Barabati Stadium,0
2020,Rising Pune Supergiants,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Rising Pune Supergiants,Himachal Pradesh Cricket Association Stadium,0
2020,Rising Pune Supergiants,Nehru Stadium,0
2020,Rising Pune Supergiants,Holkar Cricket Stadium,0
2020,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2020,Rising Pune Supergiants,Subrata Roy Sahara Stadium,0
2020,Rising Pune Supergiants,Shaheed Veer Narayan Singh International Stadium,0
2020,Rising Pune Supergiants,JSCA International Stadium Complex,0
2020,Rising Pune Supergiants,Sheikh Zayed Stadium,0
2020,Rising Pune Supergiants,Sharjah Cricket Stadium,0
2020,Rising Pune Supergiants,Dubai International Cricket Stadium,0
2020,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,0
2020,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2020,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,0
2020,Rising Pune Supergiants,Green Park,0
2020,Rising Pune Supergiants,M.Chinnaswamy Stadium,0
2020,Rising Pune Supergiant,M Chinnaswamy Stadium,0
2020,Rising Pune Supergiant,"Punjab Cricket Association Stadium, Mohali",0
2020,Rising Pune Supergiant,Feroz Shah Kotla,0
2020,Rising Pune Supergiant,Wankhede Stadium,0
2020,Rising Pune Supergiant,Eden Gardens,0
2020,Rising Pune Supergiant,Sawai Mansingh Stadium,0
2020,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",0
2020,Rising Pune Supergiant,"MA Chidambaram Stadium, Chepauk",0
2020,Rising Pune Supergiant,Dr DY Patil Sports Academy,0
2020,Rising Pune Supergiant,Newlands,0
2020,Rising Pune Supergiant,St George's Park,0
2020,Rising Pune Supergiant,Kingsmead,0
2020,Rising Pune Supergiant,SuperSport Park,0
2020,Rising Pune Supergiant,Buffalo Park,0
2020,Rising Pune Supergiant,New Wanderers Stadium,0
2020,Rising Pune Supergiant,De Beers Diamond Oval,0
2020,Rising Pune Supergiant,OUTsurance Oval,0
2020,Rising Pune Supergiant,Brabourne Stadium,0
2020,Rising Pune Supergiant,"Sardar Patel Stadium, Motera",0
2020,Rising Pune Supergiant,Barabati Stadium,0
2020,Rising Pune Supergiant,"Vidarbha Cricket Association Stadium, Jamtha",0
2020,Rising Pune Supergiant,Himachal Pradesh Cricket Association Stadium,0
2020,Rising Pune Supergiant,Nehru Stadium,0
2020,Rising Pune Supergiant,Holkar Cricket Stadium,0
